Content Type,Date,Program,Segment Description,Speaker Description,Speaker Name,Subtitle,affiliation,Processed
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob sie es ausschließt, dass das Gesetz noch vor derSommerpause durch den Bundestag geht: Nein, das wird vor der Sommerpause mit Sicherheit nichtgeschehen können, denn es gibt über hundert Fragen, die wir gestellt haben. Wir brauchen Antworten, umdas zu begleiten. Das ist übrigens in einem Verfahren auch nichts Ungewöhnliches, dass ein Gesetz erst malim Kabinett ist und dann sozusagen den Parlamentariern vorgelegt wird, da gibt es viele Beispiele. Und dieseFragen müssen im Interesse der 66 Millionen Menschen beantwortet werden. Und wie gesagt, es geht dochnicht darum, bis zum 9. Juli ein Gesetz zu haben, als ob das Leben danach nicht weitergeht, sondern einGesetz auf den Weg zu bringen, was nachhaltig ist, was die Menschen mitnimmt und was die Akzeptanz -und ich glaube, dass es bei dem Thema wirklich von hoher Relevanz - dass wir die Menschen mitnehmenund sie es akzeptieren, was wir machen. Und die Unruhe ist gigantisch. Das werden Sie in Ihrem Freundes-,Bekannten-, Familienkreis auch hören. Keiner weiß mehr, was Sache ist. Jeder fragt brauche ich jetzt eineneue Heizung oder nicht? Und ich glaube, deswegen ist es sehr wichtig, dass wir intern in der Tat verbalabrüsten, aber uns um die Sache selber kümmern. Und ich bin optimistisch, vielleicht, weil ich aus demRheinland komme. Aber ich glaube schon, dass wir was Gutes auf den Weg bringen)","ob sie es ausschließt, dass das Gesetz noch vor der",Marie-Agnes Strack-Zimmermann (zur Frage,"Wir beobachten, ob es gelingt.",Expert,beobachten gelingen
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob sie es ausschließt, dass das Gesetz noch vor derSommerpause durch den Bundestag geht: Nein, das wird vor der Sommerpause mit Sicherheit nichtgeschehen können, denn es gibt über hundert Fragen, die wir gestellt haben. Wir brauchen Antworten, umdas zu begleiten. Das ist übrigens in einem Verfahren auch nichts Ungewöhnliches, dass ein Gesetz erst malim Kabinett ist und dann sozusagen den Parlamentariern vorgelegt wird, da gibt es viele Beispiele. Und dieseFragen müssen im Interesse der 66 Millionen Menschen beantwortet werden. Und wie gesagt, es geht dochnicht darum, bis zum 9. Juli ein Gesetz zu haben, als ob das Leben danach nicht weitergeht, sondern einGesetz auf den Weg zu bringen, was nachhaltig ist, was die Menschen mitnimmt und was die Akzeptanz -und ich glaube, dass es bei dem Thema wirklich von hoher Relevanz - dass wir die Menschen mitnehmenund sie es akzeptieren, was wir machen. Und die Unruhe ist gigantisch. Das werden Sie in Ihrem Freundes-,Bekannten-, Familienkreis auch hören. Keiner weiß mehr, was Sache ist. Jeder fragt brauche ich jetzt eineneue Heizung oder nicht? Und ich glaube, deswegen ist es sehr wichtig, dass wir intern in der Tat verbalabrüsten, aber uns um die Sache selber kümmern. Und ich bin optimistisch, vielleicht, weil ich aus demRheinland komme. Aber ich glaube schon, dass wir was Gutes auf den Weg bringen)","ob sie es ausschließt, dass das Gesetz noch vor der",Marie-Agnes Strack-Zimmermann (zur Frage,"Danke fuer das Gespraech ueber den Zustand der Koalition,",Expert,danke Fuer Gespraech ueber Zustand Koalition
Sachinhalt,2023-05-23,tagesthemen,"Die Regierungsfraktionen von SPD, Bündnis 90/Die Grünen und FDP haben die Einbringung des Gebäudeenergiegesetzes (Heizungsgesetzes) in den Bundestag verschoben. Hintergrund sind grundsätzliche Bedenken der FDP. Der Koalitionspartner besteht - anders als SPD und Grüne - auf eine grundsätzliche Überarbeitung des Gesetzentwurfs. Damit sinkt die Wahrscheinlichkeit, dass das Gesetz - wie ursprünglich geplant - noch vor der parlamentarischen Sommerpause verabschiedet wird. O-Ton",Moderation,Helge Fuhst,"Marie-Agnes Strack-Zimmermann, FDP.",ARD,Marieagnes Strackzimmermann FDP
Sachinhalt,2023-05-23,tagesthemen,"Die Regierungsfraktionen von SPD, Bündnis 90/Die Grünen und FDP haben die Einbringung des Gebäudeenergiegesetzes (Heizungsgesetzes) in den Bundestag verschoben. Hintergrund sind grundsätzliche Bedenken der FDP. Der Koalitionspartner besteht - anders als SPD und Grüne - auf eine grundsätzliche Überarbeitung des Gesetzentwurfs. Damit sinkt die Wahrscheinlichkeit, dass das Gesetz - wie ursprünglich geplant - noch vor der parlamentarischen Sommerpause verabschiedet wird. O-Ton",Moderation,Helge Fuhst,Danke.,ARD,danke
Sachinhalt,2023-05-23,tagesthemen,"Die Regierungsfraktionen von SPD, Bündnis 90/Die Grünen und FDP haben die Einbringung des Gebäudeenergiegesetzes (Heizungsgesetzes) in den Bundestag verschoben. Hintergrund sind grundsätzliche Bedenken der FDP. Der Koalitionspartner besteht - anders als SPD und Grüne - auf eine grundsätzliche Überarbeitung des Gesetzentwurfs. Damit sinkt die Wahrscheinlichkeit, dass das Gesetz - wie ursprünglich geplant - noch vor der parlamentarischen Sommerpause verabschiedet wird. O-Ton",Moderation,Helge Fuhst,Die Koalition zerstreitet sich ueber Heizungen.,ARD,Koalition zerstreiten ueber heizungen
Sachinhalt,2023-05-23,tagesthemen,"Die Regierungsfraktionen von SPD, Bündnis 90/Die Grünen und FDP haben die Einbringung des Gebäudeenergiegesetzes (Heizungsgesetzes) in den Bundestag verschoben. Hintergrund sind grundsätzliche Bedenken der FDP. Der Koalitionspartner besteht - anders als SPD und Grüne - auf eine grundsätzliche Überarbeitung des Gesetzentwurfs. Damit sinkt die Wahrscheinlichkeit, dass das Gesetz - wie ursprünglich geplant - noch vor der parlamentarischen Sommerpause verabschiedet wird. O-Ton",Moderation,Helge Fuhst,Bei der Pflegereform hat sich die Ampel aber offenbar,ARD,Pflegereform Ampel offenbar
,2023-05-23,tagesthemen,,,,Dazu spreche ich gleich mit Marie-Agnes Strack-Zimmermann (FDP).,,sprechen gleich marieagnes Strackzimmermann FDP
,2023-05-23,tagesthemen,,,,als in der Ampel zu sein.,,Ampel
,2023-05-23,tagesthemen,,,,"Niemand soll auf die Idee kommen, es sei besser, nicht zu regieren,",,niemand sollen Idee kommen gut regieren
,2023-05-23,tagesthemen,,,,Dieser Tage muss die SPD den Laden ueberhaupt zusammenhalten.,,Tag SPD Laden ueberhaupt zusammenhaln
,2023-05-23,tagesthemen,,,,"Die Kanzlerpartei ist mal naeher an der FDP, mal an den Gruenen.",,Kanzlerpartei mal naeher FDP mal gruen
,2023-05-23,tagesthemen,,,,"Auch die SPD ist genervt, wie ihr Fraktionschef sagte.",,SPD nerven Fraktionschef sagen
,2023-05-23,tagesthemen,,,,zwischen FDP und Gruenen.,,FDP gruen
,2023-05-23,tagesthemen,,,,"Der heutige Tag ist der Hoehepunkt des Streits beim Thema Klimaschutz,",,heutig Tag Hoehepunkt Streit Thema Klimaschutz
O-Ton,2023-05-23,tagesschau,"(Ich rate allen Beteiligten, verbal abzurüsten)",Fraktionsvorsitzender FDP,Christian Dürr,Ziel muesse ein gutes Gesetz sein. Der Zeitplan? Zweitrangig.,FDP,Ziel muessen gut Gesetz Zeitplan zweitrangig
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob sie es ausschließt, dass das Gesetz noch vor derSommerpause durch den Bundestag geht: Nein, das wird vor der Sommerpause mit Sicherheit nichtgeschehen können, denn es gibt über hundert Fragen, die wir gestellt haben. Wir brauchen Antworten, umdas zu begleiten. Das ist übrigens in einem Verfahren auch nichts Ungewöhnliches, dass ein Gesetz erst malim Kabinett ist und dann sozusagen den Parlamentariern vorgelegt wird, da gibt es viele Beispiele. Und dieseFragen müssen im Interesse der 66 Millionen Menschen beantwortet werden. Und wie gesagt, es geht dochnicht darum, bis zum 9. Juli ein Gesetz zu haben, als ob das Leben danach nicht weitergeht, sondern einGesetz auf den Weg zu bringen, was nachhaltig ist, was die Menschen mitnimmt und was die Akzeptanz -und ich glaube, dass es bei dem Thema wirklich von hoher Relevanz - dass wir die Menschen mitnehmenund sie es akzeptieren, was wir machen. Und die Unruhe ist gigantisch. Das werden Sie in Ihrem Freundes-,Bekannten-, Familienkreis auch hören. Keiner weiß mehr, was Sache ist. Jeder fragt brauche ich jetzt eineneue Heizung oder nicht? Und ich glaube, deswegen ist es sehr wichtig, dass wir intern in der Tat verbalabrüsten, aber uns um die Sache selber kümmern. Und ich bin optimistisch, vielleicht, weil ich aus demRheinland komme. Aber ich glaube schon, dass wir was Gutes auf den Weg bringen)","ob sie es ausschließt, dass das Gesetz noch vor der",Marie-Agnes Strack-Zimmermann (zur Frage,Wir bringen was Gutes auf den Weg.,Expert,bringen gut Weg
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob bei dem öffentlichen Streit überhaupt noch Vertrauen in derRegierungskoalition entstehen kann: Doch, das glaube ich schon. Also ich meine, dass da einige sauer sind,das kann man jetzt nicht übersehen. Aber ich muss mich wiederholen, es geht doch nicht um Gräben. Oderwer sitzt jetzt in einem Graben. Also bei einem Graben - das ist nicht das Thema. Das Thema ist, was kommtam Ende dabei raus. Und ich wiederhole mich ungern. Es sind über 66 Millionen Menschen davon betroffen.Und wenn das Gesetz in Kraft tritt, dann wird es nicht mehr die Frage sein, wer sitzt in welchem Graben,sondern dann werden die Leute zu Recht sagen: Mensch Regierung, was habt ihr da auf den Weg gebracht?Wie kurzsichtig war das, ohne die Probleme zu lösen und ohne die Fragen zu beantworten. Und deswegen,glaube ich, sollten wir alle verbal einmal tief durchatmen, an einen Tisch und setzen und uns die Zeitnehmen, die wir brauchen, um was Gescheites auf den Weg zu bringen. Etwas Gescheites, was dienächsten Jahrzehnte auch tragen muss. Das ist also nicht irgendein Gesetz, was mal irgendwie so saloppüber die Bühne geht. Und ich glaube, darum geht es und nicht, ob jetzt einer sauer ist oder nicht)",ob bei dem öffentlichen Streit überhaupt noch Vertrauen in der,Marie-Agnes Strack-Zimmermann (zur Frage,Da werden Leute sagen:,Expert,Leute sagen
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob sie es ausschließt, dass das Gesetz noch vor derSommerpause durch den Bundestag geht: Nein, das wird vor der Sommerpause mit Sicherheit nichtgeschehen können, denn es gibt über hundert Fragen, die wir gestellt haben. Wir brauchen Antworten, umdas zu begleiten. Das ist übrigens in einem Verfahren auch nichts Ungewöhnliches, dass ein Gesetz erst malim Kabinett ist und dann sozusagen den Parlamentariern vorgelegt wird, da gibt es viele Beispiele. Und dieseFragen müssen im Interesse der 66 Millionen Menschen beantwortet werden. Und wie gesagt, es geht dochnicht darum, bis zum 9. Juli ein Gesetz zu haben, als ob das Leben danach nicht weitergeht, sondern einGesetz auf den Weg zu bringen, was nachhaltig ist, was die Menschen mitnimmt und was die Akzeptanz -und ich glaube, dass es bei dem Thema wirklich von hoher Relevanz - dass wir die Menschen mitnehmenund sie es akzeptieren, was wir machen. Und die Unruhe ist gigantisch. Das werden Sie in Ihrem Freundes-,Bekannten-, Familienkreis auch hören. Keiner weiß mehr, was Sache ist. Jeder fragt brauche ich jetzt eineneue Heizung oder nicht? Und ich glaube, deswegen ist es sehr wichtig, dass wir intern in der Tat verbalabrüsten, aber uns um die Sache selber kümmern. Und ich bin optimistisch, vielleicht, weil ich aus demRheinland komme. Aber ich glaube schon, dass wir was Gutes auf den Weg bringen)","ob sie es ausschließt, dass das Gesetz noch vor der",Marie-Agnes Strack-Zimmermann (zur Frage,"Wir muessen uns um die Sache kuemmern, ich bin optimistisch.",Expert,muessen Sache kuemmern optimistisch
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob sie es ausschließt, dass das Gesetz noch vor derSommerpause durch den Bundestag geht: Nein, das wird vor der Sommerpause mit Sicherheit nichtgeschehen können, denn es gibt über hundert Fragen, die wir gestellt haben. Wir brauchen Antworten, umdas zu begleiten. Das ist übrigens in einem Verfahren auch nichts Ungewöhnliches, dass ein Gesetz erst malim Kabinett ist und dann sozusagen den Parlamentariern vorgelegt wird, da gibt es viele Beispiele. Und dieseFragen müssen im Interesse der 66 Millionen Menschen beantwortet werden. Und wie gesagt, es geht dochnicht darum, bis zum 9. Juli ein Gesetz zu haben, als ob das Leben danach nicht weitergeht, sondern einGesetz auf den Weg zu bringen, was nachhaltig ist, was die Menschen mitnimmt und was die Akzeptanz -und ich glaube, dass es bei dem Thema wirklich von hoher Relevanz - dass wir die Menschen mitnehmenund sie es akzeptieren, was wir machen. Und die Unruhe ist gigantisch. Das werden Sie in Ihrem Freundes-,Bekannten-, Familienkreis auch hören. Keiner weiß mehr, was Sache ist. Jeder fragt brauche ich jetzt eineneue Heizung oder nicht? Und ich glaube, deswegen ist es sehr wichtig, dass wir intern in der Tat verbalabrüsten, aber uns um die Sache selber kümmern. Und ich bin optimistisch, vielleicht, weil ich aus demRheinland komme. Aber ich glaube schon, dass wir was Gutes auf den Weg bringen)","ob sie es ausschließt, dass das Gesetz noch vor der",Marie-Agnes Strack-Zimmermann (zur Frage,"Jeder fragt sich, brauche ich eine neue Heizung?",Expert,fragen brauchen neu Heizung
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob bei dem öffentlichen Streit überhaupt noch Vertrauen in derRegierungskoalition entstehen kann: Doch, das glaube ich schon. Also ich meine, dass da einige sauer sind,das kann man jetzt nicht übersehen. Aber ich muss mich wiederholen, es geht doch nicht um Gräben. Oderwer sitzt jetzt in einem Graben. Also bei einem Graben - das ist nicht das Thema. Das Thema ist, was kommtam Ende dabei raus. Und ich wiederhole mich ungern. Es sind über 66 Millionen Menschen davon betroffen.Und wenn das Gesetz in Kraft tritt, dann wird es nicht mehr die Frage sein, wer sitzt in welchem Graben,sondern dann werden die Leute zu Recht sagen: Mensch Regierung, was habt ihr da auf den Weg gebracht?Wie kurzsichtig war das, ohne die Probleme zu lösen und ohne die Fragen zu beantworten. Und deswegen,glaube ich, sollten wir alle verbal einmal tief durchatmen, an einen Tisch und setzen und uns die Zeitnehmen, die wir brauchen, um was Gescheites auf den Weg zu bringen. Etwas Gescheites, was dienächsten Jahrzehnte auch tragen muss. Das ist also nicht irgendein Gesetz, was mal irgendwie so saloppüber die Bühne geht. Und ich glaube, darum geht es und nicht, ob jetzt einer sauer ist oder nicht)",ob bei dem öffentlichen Streit überhaupt noch Vertrauen in der,Marie-Agnes Strack-Zimmermann (zur Frage,Deswegen sollten wir verbal durchatmen.,Expert,deswegen sollen verbal durchatmen
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob bei dem öffentlichen Streit überhaupt noch Vertrauen in derRegierungskoalition entstehen kann: Doch, das glaube ich schon. Also ich meine, dass da einige sauer sind,das kann man jetzt nicht übersehen. Aber ich muss mich wiederholen, es geht doch nicht um Gräben. Oderwer sitzt jetzt in einem Graben. Also bei einem Graben - das ist nicht das Thema. Das Thema ist, was kommtam Ende dabei raus. Und ich wiederhole mich ungern. Es sind über 66 Millionen Menschen davon betroffen.Und wenn das Gesetz in Kraft tritt, dann wird es nicht mehr die Frage sein, wer sitzt in welchem Graben,sondern dann werden die Leute zu Recht sagen: Mensch Regierung, was habt ihr da auf den Weg gebracht?Wie kurzsichtig war das, ohne die Probleme zu lösen und ohne die Fragen zu beantworten. Und deswegen,glaube ich, sollten wir alle verbal einmal tief durchatmen, an einen Tisch und setzen und uns die Zeitnehmen, die wir brauchen, um was Gescheites auf den Weg zu bringen. Etwas Gescheites, was dienächsten Jahrzehnte auch tragen muss. Das ist also nicht irgendein Gesetz, was mal irgendwie so saloppüber die Bühne geht. Und ich glaube, darum geht es und nicht, ob jetzt einer sauer ist oder nicht)",ob bei dem öffentlichen Streit überhaupt noch Vertrauen in der,Marie-Agnes Strack-Zimmermann (zur Frage,"Wir sollten uns die Zeit nehmen, die wir brauchen.",Expert,sollen Zeit nehmen brauchen
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob bei dem öffentlichen Streit überhaupt noch Vertrauen in derRegierungskoalition entstehen kann: Doch, das glaube ich schon. Also ich meine, dass da einige sauer sind,das kann man jetzt nicht übersehen. Aber ich muss mich wiederholen, es geht doch nicht um Gräben. Oderwer sitzt jetzt in einem Graben. Also bei einem Graben - das ist nicht das Thema. Das Thema ist, was kommtam Ende dabei raus. Und ich wiederhole mich ungern. Es sind über 66 Millionen Menschen davon betroffen.Und wenn das Gesetz in Kraft tritt, dann wird es nicht mehr die Frage sein, wer sitzt in welchem Graben,sondern dann werden die Leute zu Recht sagen: Mensch Regierung, was habt ihr da auf den Weg gebracht?Wie kurzsichtig war das, ohne die Probleme zu lösen und ohne die Fragen zu beantworten. Und deswegen,glaube ich, sollten wir alle verbal einmal tief durchatmen, an einen Tisch und setzen und uns die Zeitnehmen, die wir brauchen, um was Gescheites auf den Weg zu bringen. Etwas Gescheites, was dienächsten Jahrzehnte auch tragen muss. Das ist also nicht irgendein Gesetz, was mal irgendwie so saloppüber die Bühne geht. Und ich glaube, darum geht es und nicht, ob jetzt einer sauer ist oder nicht)",ob bei dem öffentlichen Streit überhaupt noch Vertrauen in der,Marie-Agnes Strack-Zimmermann (zur Frage,Wir wollen etwas Gescheites auf den Weg bringen.,Expert,gescheit Weg bringen
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob bei dem öffentlichen Streit überhaupt noch Vertrauen in derRegierungskoalition entstehen kann: Doch, das glaube ich schon. Also ich meine, dass da einige sauer sind,das kann man jetzt nicht übersehen. Aber ich muss mich wiederholen, es geht doch nicht um Gräben. Oderwer sitzt jetzt in einem Graben. Also bei einem Graben - das ist nicht das Thema. Das Thema ist, was kommtam Ende dabei raus. Und ich wiederhole mich ungern. Es sind über 66 Millionen Menschen davon betroffen.Und wenn das Gesetz in Kraft tritt, dann wird es nicht mehr die Frage sein, wer sitzt in welchem Graben,sondern dann werden die Leute zu Recht sagen: Mensch Regierung, was habt ihr da auf den Weg gebracht?Wie kurzsichtig war das, ohne die Probleme zu lösen und ohne die Fragen zu beantworten. Und deswegen,glaube ich, sollten wir alle verbal einmal tief durchatmen, an einen Tisch und setzen und uns die Zeitnehmen, die wir brauchen, um was Gescheites auf den Weg zu bringen. Etwas Gescheites, was dienächsten Jahrzehnte auch tragen muss. Das ist also nicht irgendein Gesetz, was mal irgendwie so saloppüber die Bühne geht. Und ich glaube, darum geht es und nicht, ob jetzt einer sauer ist oder nicht)",ob bei dem öffentlichen Streit überhaupt noch Vertrauen in der,Marie-Agnes Strack-Zimmermann (zur Frage,Es muss Jahrzehnte tragen.,Expert,Jahrzehnt tragen
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob bei dem öffentlichen Streit überhaupt noch Vertrauen in derRegierungskoalition entstehen kann: Doch, das glaube ich schon. Also ich meine, dass da einige sauer sind,das kann man jetzt nicht übersehen. Aber ich muss mich wiederholen, es geht doch nicht um Gräben. Oderwer sitzt jetzt in einem Graben. Also bei einem Graben - das ist nicht das Thema. Das Thema ist, was kommtam Ende dabei raus. Und ich wiederhole mich ungern. Es sind über 66 Millionen Menschen davon betroffen.Und wenn das Gesetz in Kraft tritt, dann wird es nicht mehr die Frage sein, wer sitzt in welchem Graben,sondern dann werden die Leute zu Recht sagen: Mensch Regierung, was habt ihr da auf den Weg gebracht?Wie kurzsichtig war das, ohne die Probleme zu lösen und ohne die Fragen zu beantworten. Und deswegen,glaube ich, sollten wir alle verbal einmal tief durchatmen, an einen Tisch und setzen und uns die Zeitnehmen, die wir brauchen, um was Gescheites auf den Weg zu bringen. Etwas Gescheites, was dienächsten Jahrzehnte auch tragen muss. Das ist also nicht irgendein Gesetz, was mal irgendwie so saloppüber die Bühne geht. Und ich glaube, darum geht es und nicht, ob jetzt einer sauer ist oder nicht)",ob bei dem öffentlichen Streit überhaupt noch Vertrauen in der,Marie-Agnes Strack-Zimmermann (zur Frage,Darum geht es.,Expert,darum gehen
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob bei dem öffentlichen Streit überhaupt noch Vertrauen in derRegierungskoalition entstehen kann: Doch, das glaube ich schon. Also ich meine, dass da einige sauer sind,das kann man jetzt nicht übersehen. Aber ich muss mich wiederholen, es geht doch nicht um Gräben. Oderwer sitzt jetzt in einem Graben. Also bei einem Graben - das ist nicht das Thema. Das Thema ist, was kommtam Ende dabei raus. Und ich wiederhole mich ungern. Es sind über 66 Millionen Menschen davon betroffen.Und wenn das Gesetz in Kraft tritt, dann wird es nicht mehr die Frage sein, wer sitzt in welchem Graben,sondern dann werden die Leute zu Recht sagen: Mensch Regierung, was habt ihr da auf den Weg gebracht?Wie kurzsichtig war das, ohne die Probleme zu lösen und ohne die Fragen zu beantworten. Und deswegen,glaube ich, sollten wir alle verbal einmal tief durchatmen, an einen Tisch und setzen und uns die Zeitnehmen, die wir brauchen, um was Gescheites auf den Weg zu bringen. Etwas Gescheites, was dienächsten Jahrzehnte auch tragen muss. Das ist also nicht irgendein Gesetz, was mal irgendwie so saloppüber die Bühne geht. Und ich glaube, darum geht es und nicht, ob jetzt einer sauer ist oder nicht)",ob bei dem öffentlichen Streit überhaupt noch Vertrauen in der,Marie-Agnes Strack-Zimmermann (zur Frage,Geht das vor der Sommerpause durch den Bundesrat?,Expert,gehen Sommerpause Bundesrat
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob sie es ausschließt, dass das Gesetz noch vor derSommerpause durch den Bundestag geht: Nein, das wird vor der Sommerpause mit Sicherheit nichtgeschehen können, denn es gibt über hundert Fragen, die wir gestellt haben. Wir brauchen Antworten, umdas zu begleiten. Das ist übrigens in einem Verfahren auch nichts Ungewöhnliches, dass ein Gesetz erst malim Kabinett ist und dann sozusagen den Parlamentariern vorgelegt wird, da gibt es viele Beispiele. Und dieseFragen müssen im Interesse der 66 Millionen Menschen beantwortet werden. Und wie gesagt, es geht dochnicht darum, bis zum 9. Juli ein Gesetz zu haben, als ob das Leben danach nicht weitergeht, sondern einGesetz auf den Weg zu bringen, was nachhaltig ist, was die Menschen mitnimmt und was die Akzeptanz -und ich glaube, dass es bei dem Thema wirklich von hoher Relevanz - dass wir die Menschen mitnehmenund sie es akzeptieren, was wir machen. Und die Unruhe ist gigantisch. Das werden Sie in Ihrem Freundes-,Bekannten-, Familienkreis auch hören. Keiner weiß mehr, was Sache ist. Jeder fragt brauche ich jetzt eineneue Heizung oder nicht? Und ich glaube, deswegen ist es sehr wichtig, dass wir intern in der Tat verbalabrüsten, aber uns um die Sache selber kümmern. Und ich bin optimistisch, vielleicht, weil ich aus demRheinland komme. Aber ich glaube schon, dass wir was Gutes auf den Weg bringen)","ob sie es ausschließt, dass das Gesetz noch vor der",Marie-Agnes Strack-Zimmermann (zur Frage,Es wird vor der Sommerpause nicht durchgehen.,Expert,Sommerpause durchgeh
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob sie es ausschließt, dass das Gesetz noch vor derSommerpause durch den Bundestag geht: Nein, das wird vor der Sommerpause mit Sicherheit nichtgeschehen können, denn es gibt über hundert Fragen, die wir gestellt haben. Wir brauchen Antworten, umdas zu begleiten. Das ist übrigens in einem Verfahren auch nichts Ungewöhnliches, dass ein Gesetz erst malim Kabinett ist und dann sozusagen den Parlamentariern vorgelegt wird, da gibt es viele Beispiele. Und dieseFragen müssen im Interesse der 66 Millionen Menschen beantwortet werden. Und wie gesagt, es geht dochnicht darum, bis zum 9. Juli ein Gesetz zu haben, als ob das Leben danach nicht weitergeht, sondern einGesetz auf den Weg zu bringen, was nachhaltig ist, was die Menschen mitnimmt und was die Akzeptanz -und ich glaube, dass es bei dem Thema wirklich von hoher Relevanz - dass wir die Menschen mitnehmenund sie es akzeptieren, was wir machen. Und die Unruhe ist gigantisch. Das werden Sie in Ihrem Freundes-,Bekannten-, Familienkreis auch hören. Keiner weiß mehr, was Sache ist. Jeder fragt brauche ich jetzt eineneue Heizung oder nicht? Und ich glaube, deswegen ist es sehr wichtig, dass wir intern in der Tat verbalabrüsten, aber uns um die Sache selber kümmern. Und ich bin optimistisch, vielleicht, weil ich aus demRheinland komme. Aber ich glaube schon, dass wir was Gutes auf den Weg bringen)","ob sie es ausschließt, dass das Gesetz noch vor der",Marie-Agnes Strack-Zimmermann (zur Frage,Wir haben ueber 100 Fragen gestellt und brauchen Antworten.,Expert,ueber 100 Frage stellen brauchen Antwort
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob sie es ausschließt, dass das Gesetz noch vor derSommerpause durch den Bundestag geht: Nein, das wird vor der Sommerpause mit Sicherheit nichtgeschehen können, denn es gibt über hundert Fragen, die wir gestellt haben. Wir brauchen Antworten, umdas zu begleiten. Das ist übrigens in einem Verfahren auch nichts Ungewöhnliches, dass ein Gesetz erst malim Kabinett ist und dann sozusagen den Parlamentariern vorgelegt wird, da gibt es viele Beispiele. Und dieseFragen müssen im Interesse der 66 Millionen Menschen beantwortet werden. Und wie gesagt, es geht dochnicht darum, bis zum 9. Juli ein Gesetz zu haben, als ob das Leben danach nicht weitergeht, sondern einGesetz auf den Weg zu bringen, was nachhaltig ist, was die Menschen mitnimmt und was die Akzeptanz -und ich glaube, dass es bei dem Thema wirklich von hoher Relevanz - dass wir die Menschen mitnehmenund sie es akzeptieren, was wir machen. Und die Unruhe ist gigantisch. Das werden Sie in Ihrem Freundes-,Bekannten-, Familienkreis auch hören. Keiner weiß mehr, was Sache ist. Jeder fragt brauche ich jetzt eineneue Heizung oder nicht? Und ich glaube, deswegen ist es sehr wichtig, dass wir intern in der Tat verbalabrüsten, aber uns um die Sache selber kümmern. Und ich bin optimistisch, vielleicht, weil ich aus demRheinland komme. Aber ich glaube schon, dass wir was Gutes auf den Weg bringen)","ob sie es ausschließt, dass das Gesetz noch vor der",Marie-Agnes Strack-Zimmermann (zur Frage,"Es ist nicht ungewoehnlich, dass ein Gesetz erst im Kabinett ist,",Expert,ungewoehnlich Gesetz erst Kabinett
O-Ton,2023-05-23,tagesthemen,"(zur Frage, ob sie es ausschließt, dass das Gesetz noch vor derSommerpause durch den Bundestag geht: Nein, das wird vor der Sommerpause mit Sicherheit nichtgeschehen können, denn es gibt über hundert Fragen, die wir gestellt haben. Wir brauchen Antworten, umdas zu begleiten. Das ist übrigens in einem Verfahren auch nichts Ungewöhnliches, dass ein Gesetz erst malim Kabinett ist und dann sozusagen den Parlamentariern vorgelegt wird, da gibt es viele Beispiele. Und dieseFragen müssen im Interesse der 66 Millionen Menschen beantwortet werden. Und wie gesagt, es geht dochnicht darum, bis zum 9. Juli ein Gesetz zu haben, als ob das Leben danach nicht weitergeht, sondern einGesetz auf den Weg zu bringen, was nachhaltig ist, was die Menschen mitnimmt und was die Akzeptanz -und ich glaube, dass es bei dem Thema wirklich von hoher Relevanz - dass wir die Menschen mitnehmenund sie es akzeptieren, was wir machen. Und die Unruhe ist gigantisch. Das werden Sie in Ihrem Freundes-,Bekannten-, Familienkreis auch hören. Keiner weiß mehr, was Sache ist. Jeder fragt brauche ich jetzt eineneue Heizung oder nicht? Und ich glaube, deswegen ist es sehr wichtig, dass wir intern in der Tat verbalabrüsten, aber uns um die Sache selber kümmern. Und ich bin optimistisch, vielleicht, weil ich aus demRheinland komme. Aber ich glaube schon, dass wir was Gutes auf den Weg bringen)","ob sie es ausschließt, dass das Gesetz noch vor der",Marie-Agnes Strack-Zimmermann (zur Frage,und dann den Parlamentariern vorgelegt wird.,Expert,Parlamentarier vorlegen
